#Network: C:/Users/Yanyan/Documents/Visual Studio 2013/Projects/StressTransGraphVis/data/facebook_899/facebook_899.txt
#Nodes: 899	Edges: 7089
#NodeId	Degree	Closeness	Betweennes	EigenVector	NetworkConstraint	ClusteringCoefficient	PageRank	HubScore	AuthorityScore
0	7.000000	0.321058	287.919232	0.004780	0.136467	0.333333	0.000915	0.005174	0.000364
38	24.000000	0.385573	2143.409100	0.027131	0.050604	0.039855	0.002356	0.004660	0.041071
101	36.000000	0.414398	5368.094760	0.050062	0.035083	0.066667	0.001964	0.034382	0.041206
153	22.000000	0.379223	5804.015065	0.021420	0.053449	0.043290	0.005980	0.008061	0.019305
356	9.000000	0.350507	2036.909646	0.013591	0.120121	0.111111	0.000505	0.002466	0.020545
458	4.000000	0.309122	1822.392159	0.002825	0.262476	0.000000	0.000510	0.001346	0.003501
1	50.000000	0.429049	7565.196053	0.065082	0.026383	0.050612	0.004807	0.038278	0.047926
13	30.000000	0.392311	3461.405929	0.034355	0.041075	0.043678	0.002098	0.010530	0.047671
44	10.000000	0.345784	254.296179	0.011910	0.111204	0.022222	0.001185	0.010743	0.001574
69	29.000000	0.397873	4470.602016	0.037812	0.041649	0.046798	0.002759	0.008718	0.047163
80	22.000000	0.366680	1860.614237	0.017266	0.052615	0.021645	0.002030	0.000870	0.025406
82	18.000000	0.382453	1043.646216	0.026296	0.062980	0.052288	0.001083	0.022455	0.018856
126	17.000000	0.369395	471.730647	0.022806	0.066535	0.029412	0.000563	0.002145	0.035792
158	21.000000	0.394725	2578.295899	0.034138	0.057411	0.109524	0.002493	0.019843	0.035548
160	10.000000	0.360064	325.852841	0.015045	0.111016	0.111111	0.004426	0.000914	0.015951
170	13.000000	0.371689	275.365034	0.021494	0.088143	0.115385	0.000773	0.015842	0.016068
198	54.000000	0.416126	7556.147212	0.061785	0.025204	0.032844	0.005185	0.001780	0.094173
208	6.000000	0.346584	26.829439	0.012072	0.182454	0.200000	0.000410	0.001905	0.014126
218	9.000000	0.371228	320.921227	0.018837	0.121027	0.083333	0.000753	0.017404	0.012792
236	65.000000	0.431523	8417.821280	0.098300	0.022347	0.054808	0.004208	0.000655	0.173993
238	35.000000	0.408553	4841.258065	0.044316	0.034394	0.030252	0.003863	0.002512	0.066440
280	49.000000	0.432563	6229.393572	0.072196	0.027187	0.056973	0.004084	0.020846	0.096170
282	23.000000	0.389419	1994.621207	0.026867	0.049788	0.031621	0.001555	0.012055	0.027021
283	8.000000	0.342748	148.281995	0.009039	0.133554	0.000000	0.000460	0.006233	0.002990
285	7.000000	0.362243	164.786338	0.014823	0.151259	0.047619	0.000407	0.009143	0.017431
289	72.000000	0.463125	14713.738074	0.104481	0.020793	0.059077	0.000447	0.152189	0.004304
292	8.000000	0.371535	55.236121	0.020161	0.135823	0.142857	0.000852	0.002063	0.028672
299	14.000000	0.385077	448.774018	0.028113	0.080057	0.120879	0.000321	0.041924	0.006623
301	6.000000	0.325480	98.319208	0.004657	0.181047	0.000000	0.000352	0.000552	0.006599
305	20.000000	0.396293	2471.001453	0.036857	0.057405	0.110526	0.000493	0.051825	0.008010
312	36.000000	0.427416	4682.395164	0.057817	0.034302	0.060317	0.001313	0.035471	0.060803
386	21.000000	0.379223	1532.117156	0.027354	0.055411	0.033333	0.001430	0.009546	0.038707
406	30.000000	0.391627	4924.347935	0.029898	0.042321	0.050575	0.003611	0.022873	0.015863
440	38.000000	0.421398	4977.263360	0.050036	0.033370	0.059744	0.000948	0.063758	0.013418
2	65.000000	0.436983	10679.486939	0.086638	0.021977	0.043750	0.012659	0.076650	0.042601
15	69.000000	0.453306	12044.411293	0.095517	0.022115	0.065644	0.007006	0.053798	0.108196
16	61.000000	0.442583	8406.075224	0.090382	0.023476	0.066667	0.006250	0.075232	0.072543
17	91.000000	0.469665	20850.105877	0.144367	0.018794	0.099634	0.005515	0.103061	0.149145
51	29.000000	0.389926	3969.377030	0.027943	0.039996	0.022167	0.009137	0.015605	0.026662
61	26.000000	0.405601	1449.806854	0.051340	0.047136	0.107692	0.002722	0.024404	0.067905
83	14.000000	0.382128	468.762294	0.024765	0.080610	0.109890	0.000935	0.026485	0.014447
87	10.000000	0.343666	291.923255	0.010470	0.112233	0.066667	0.001294	0.002769	0.011851
116	51.000000	0.416512	3528.326280	0.078317	0.026552	0.095686	0.001895	0.016681	0.120806
119	8.000000	0.353961	205.281854	0.013197	0.133835	0.035714	0.000534	0.012261	0.010568
166	11.000000	0.353265	365.103667	0.013899	0.101128	0.036364	0.000718	0.003071	0.017402
181	21.000000	0.391285	1083.733183	0.036554	0.054315	0.209524	0.002576	0.010518	0.043724
207	79.000000	0.444334	18376.657672	0.100071	0.018833	0.032457	0.004440	0.013808	0.167298
241	20.000000	0.389926	905.099076	0.028748	0.057181	0.052632	0.001360	0.029586	0.017987
260	17.000000	0.369547	2431.866028	0.021290	0.066491	0.051471	0.000956	0.006117	0.034934
288	31.000000	0.407256	1817.147538	0.055770	0.041880	0.092473	0.004352	0.001128	0.090822
290	70.000000	0.439335	15944.707778	0.093004	0.021035	0.052174	0.003252	0.033388	0.135310
311	25.000000	0.395944	1560.881005	0.037243	0.045642	0.030000	0.001378	0.018907	0.045556
361	50.000000	0.423585	4046.151018	0.072082	0.027162	0.056327	0.001838	0.037418	0.089403
364	11.000000	0.348332	121.148823	0.016523	0.102978	0.054545	0.000884	0.001749	0.029685
366	27.000000	0.403052	1786.262710	0.046306	0.045130	0.065527	0.001949	0.009546	0.077310
370	11.000000	0.367581	222.010016	0.017797	0.099407	0.072727	0.000749	0.013513	0.018270
372	31.000000	0.406703	1984.625607	0.050761	0.041184	0.086022	0.000883	0.031396	0.055573
376	60.000000	0.458163	8655.201941	0.105815	0.026561	0.107345	0.002122	0.133814	0.049738
387	14.000000	0.362097	653.037851	0.017790	0.078812	0.010989	0.003077	0.004089	0.016934
434	21.000000	0.400714	1749.929922	0.034231	0.055579	0.080952	0.001434	0.023829	0.035918
437	19.000000	0.387905	683.741918	0.033296	0.061176	0.081871	0.000804	0.027671	0.029473
487	33.000000	0.416512	4330.164467	0.052657	0.038642	0.089015	0.003600	0.015303	0.064390
528	19.000000	0.414398	777.563034	0.044983	0.061169	0.152047	0.000756	0.038067	0.043278
3	35.000000	0.400000	4492.521893	0.039692	0.035580	0.035294	0.002364	0.038164	0.019993
6	49.000000	0.431316	5991.457234	0.066935	0.028953	0.070578	0.024129	0.025390	0.075175
31	38.000000	0.404869	3478.183841	0.049763	0.033852	0.049787	0.005412	0.017571	0.056139
35	41.000000	0.414972	7490.996216	0.052102	0.032191	0.108537	0.005283	0.041864	0.047499
72	50.000000	0.434656	6885.190410	0.070547	0.028468	0.076735	0.004616	0.070367	0.038288
90	84.000000	0.447880	17984.694233	0.105131	0.018333	0.038153	0.005940	0.016754	0.167234
115	9.000000	0.346718	239.347469	0.010853	0.120674	0.027778	0.000845	0.000583	0.018667
195	37.000000	0.416126	3505.169283	0.057514	0.034106	0.124625	0.001310	0.046968	0.062427
201	35.000000	0.425996	3905.072129	0.059161	0.037304	0.092437	0.002437	0.033677	0.069573
206	29.000000	0.419039	1837.490660	0.055086	0.046573	0.145320	0.001808	0.056254	0.033475
231	21.000000	0.398580	760.037506	0.037611	0.056106	0.119048	0.001193	0.031625	0.037961
244	22.000000	0.372924	1340.361263	0.023478	0.052374	0.025974	0.002173	0.000693	0.039707
323	15.000000	0.373700	578.660846	0.024212	0.077481	0.095238	0.001020	0.000065	0.044423
351	20.000000	0.375889	641.138099	0.027111	0.059487	0.073684	0.001851	0.003022	0.040380
392	16.000000	0.375732	2339.091117	0.024722	0.068095	0.016667	0.000855	0.007117	0.035660
452	9.000000	0.361368	281.124886	0.013573	0.117791	0.000000	0.002114	0.003774	0.021183
529	10.000000	0.362535	2198.208369	0.013222	0.111461	0.088889	0.000705	0.017874	0.006300
4	17.000000	0.376047	677.537578	0.022612	0.069914	0.073529	0.005031	0.009820	0.018582
71	37.000000	0.412874	4211.197403	0.048262	0.034259	0.049550	0.008520	0.024322	0.038552
81	102.000000	0.474379	27717.115432	0.142484	0.016509	0.057853	0.017402	0.038049	0.199191
447	5.000000	0.339765	38.712274	0.007382	0.214962	0.100000	0.002317	0.009671	0.001402
5	16.000000	0.361805	1105.880236	0.015841	0.076097	0.033333	0.001068	0.018807	0.007199
63	12.000000	0.350507	504.688917	0.013066	0.093067	0.030303	0.001875	0.001950	0.017094
114	36.000000	0.402871	4454.925297	0.045957	0.035083	0.046032	0.008439	0.002162	0.064311
228	22.000000	0.385077	4375.575159	0.030025	0.056375	0.073593	0.001017	0.013282	0.037527
235	14.000000	0.363416	767.757482	0.016203	0.079680	0.032967	0.000875	0.000266	0.025273
354	18.000000	0.375732	1071.287408	0.021707	0.063925	0.058824	0.001652	0.001947	0.030742
390	9.000000	0.349416	216.405306	0.013098	0.126159	0.083333	0.002136	0.001905	0.020450
481	40.000000	0.416899	6066.805116	0.054238	0.032281	0.060256	0.003971	0.042641	0.041426
523	14.000000	0.371689	487.113797	0.020738	0.081344	0.076923	0.000443	0.011600	0.021983
12	122.000000	0.483576	35463.434781	0.169973	0.014993	0.055413	0.027428	0.017342	0.232476
23	43.000000	0.426401	7203.309481	0.055098	0.029196	0.037652	0.005690	0.042789	0.043461
59	40.000000	0.433816	2937.062253	0.073744	0.033139	0.091026	0.008648	0.031459	0.072025
152	12.000000	0.371074	348.442420	0.020813	0.095686	0.106061	0.003781	0.000466	0.028885
176	6.000000	0.359776	42.143903	0.013717	0.181140	0.333333	0.003136	0.006389	0.015609
7	64.000000	0.423585	15171.759365	0.063853	0.021423	0.024306	0.007597	0.001254	0.109797
135	11.000000	0.357484	303.072113	0.013092	0.101148	0.072727	0.004755	0.001095	0.010064
340	14.000000	0.384582	535.184824	0.022479	0.078269	0.054945	0.004357	0.011356	0.020468
8	9.000000	0.371074	295.888120	0.020441	0.124840	0.194444	0.001911	0.008686	0.018364
18	79.000000	0.449675	16027.865697	0.103808	0.019886	0.053554	0.010465	0.050632	0.121930
92	54.000000	0.436983	7023.181382	0.073189	0.026222	0.064990	0.004694	0.030492	0.089593
9	128.000000	0.473629	39579.033215	0.146912	0.013776	0.031127	0.018637	0.002762	0.222663
67	38.000000	0.421992	6390.829781	0.045723	0.034534	0.059744	0.009553	0.035565	0.036438
322	36.000000	0.429665	4650.317911	0.061181	0.036277	0.096825	0.008931	0.069274	0.030816
10	26.000000	0.394032	7196.577255	0.035225	0.045685	0.138462	0.011684	0.006651	0.028944
30	24.000000	0.410233	3231.219884	0.043667	0.050218	0.105072	0.003065	0.044963	0.025788
102	47.000000	0.425189	7118.239799	0.067520	0.028749	0.065680	0.004322	0.027921	0.086339
104	19.000000	0.386736	822.066443	0.030807	0.062349	0.111111	0.003276	0.042160	0.003963
11	95.000000	0.468440	24516.507198	0.135867	0.017534	0.059127	0.020017	0.020613	0.196304
48	45.000000	0.416899	5307.558241	0.054124	0.028691	0.039394	0.005648	0.002356	0.074772
54	29.000000	0.405418	1748.900743	0.049372	0.045114	0.103448	0.006681	0.009546	0.062277
57	39.000000	0.416899	3546.572773	0.055383	0.033517	0.071525	0.003728	0.036609	0.060940
66	113.000000	0.483836	32679.503397	0.147166	0.014882	0.049463	0.003881	0.202550	0.027812
168	41.000000	0.436558	3339.922073	0.080384	0.031911	0.095122	0.003670	0.049137	0.081706
21	52.000000	0.425592	10449.720018	0.059831	0.025895	0.039216	0.014584	0.003087	0.077706
164	7.000000	0.362975	94.113625	0.015021	0.157082	0.190476	0.005022	0.003087	0.015050
398	16.000000	0.373544	563.094103	0.022361	0.069571	0.041667	0.000873	0.014546	0.021332
14	48.000000	0.410608	5445.998126	0.061086	0.028698	0.045213	0.003799	0.003209	0.094889
58	87.000000	0.455606	30410.646559	0.105781	0.017383	0.041165	0.010426	0.015367	0.140979
68	29.000000	0.405235	1353.087719	0.050559	0.042749	0.076355	0.002206	0.003293	0.087889
118	16.000000	0.390945	2227.740976	0.030953	0.071118	0.108333	0.002106	0.012369	0.025755
125	19.000000	0.372614	924.050813	0.021472	0.060878	0.058480	0.001216	0.008406	0.022089
138	14.000000	0.376204	726.836367	0.020453	0.079074	0.054945	0.001654	0.002486	0.026888
204	16.000000	0.388408	733.414147	0.025954	0.068374	0.041667	0.001594	0.017346	0.018599
363	17.000000	0.374011	483.040115	0.026077	0.069022	0.073529	0.001195	0.000737	0.042822
45	14.000000	0.371843	1498.911226	0.023698	0.080475	0.076923	0.001999	0.002040	0.025863
78	11.000000	0.354941	203.327925	0.016648	0.101510	0.090909	0.001008	0.008669	0.018598
86	44.000000	0.425391	4415.830919	0.066255	0.029960	0.063425	0.003017	0.024963	0.077674
93	23.000000	0.388913	2877.062312	0.033139	0.052144	0.067194	0.001647	0.017501	0.035772
127	39.000000	0.415741	4261.620241	0.059391	0.032051	0.047233	0.001642	0.015689	0.091625
136	27.000000	0.387403	3086.443869	0.035276	0.044015	0.031339	0.001558	0.010308	0.046676
185	44.000000	0.431316	4772.326302	0.070850	0.030723	0.073996	0.002429	0.028873	0.090795
239	14.000000	0.370768	508.967523	0.021411	0.081755	0.076923	0.001341	0.004509	0.030150
384	20.000000	0.389588	583.618342	0.035944	0.057554	0.073684	0.001082	0.004152	0.055227
445	16.000000	0.384912	619.801411	0.027889	0.072826	0.125000	0.001636	0.012796	0.024917
471	5.000000	0.336834	103.581531	0.008469	0.213942	0.100000	0.000551	0.006540	0.005436
526	11.000000	0.386902	249.404275	0.024898	0.098223	0.072727	0.001059	0.023923	0.008853
47	21.000000	0.383761	1310.498521	0.031223	0.057521	0.095238	0.001634	0.001267	0.038805
74	96.000000	0.460277	25497.379996	0.115600	0.017082	0.040570	0.008326	0.045305	0.150928
75	32.000000	0.397345	4084.228794	0.036195	0.038197	0.028226	0.003518	0.013404	0.037417
99	100.000000	0.482536	22230.834293	0.172047	0.017043	0.080404	0.001816	0.252492	0.028294
109	29.000000	0.396994	1569.034256	0.042427	0.042413	0.059113	0.001894	0.018862	0.051816
